mes;temperatura_min1;temperatura_min2;temperatura_max1;temperatura_max2;humidade_media1;humidade_media2;insolacao1;insolacao2;velocidade_vento1;velocidade_vento2;precipitacao;temperatura_min;temperatura_max;humidade_media
3;21.4;22.0;28.2;30.6;76.75;85.75;7.4;7.9;3.166667;4.633333;0.0;26.2;29.8;86.25
3;24.2;25.2;29.8;30.0;83.75;80.75;7.4;3.6;5.133333;3.433333;0.0;26.2;32.0;81.0
2;26.0;23.8;30.8;29.0;90.75;83.75;8.1;9.7;4.633333;5.4;0.0;27.0;31.4;72.0
4;25.0;18.0;29.4;28.6;78.75;85.5;8.9;3.6;4.366667;4.2;9.8;24.2;30.0;89.0
11;24.9;21.3;29.8;27.6;78.0;81.5;10.0;0.3;5.466667;3.066667;8.5;23.0;29.6;77.5
7;24.3;23.0;29.6;30.4;73.75;79.75;9.3;9.7;4.866667;3.133333;19.9;20.9;28.4;86.25
6;21.2;23.3;29.0;30.2;79.5;80.5;10.3;9.1;3.633333;4.233333;84.6;22.5;28.2;93.25
11;23.8;21.4;28.6;29.8;87.25;67.0;1.0;9.0;3.3;5.5;0.0;25.9;29.8;77.5
3;21.6;19.0;28.6;28.6;85.0;84.75;8.0;7.5;3.0;5.566667;70.1;22.4;30.8;78.0
12;22.8;21.1;29.6;28.8;78.25;76.5;9.2;10.5;2.233333;3.133333;0.0;24.8;30.0;83.0
4;20.2;21.8;28.2;30.4;78.25;88.75;7.7;9.3;5.533333;4.433333;11.9;23.4;30.4;85.0
8;23.0;21.0;30.6;28.8;85.75;72.0;10.4;9.0;3.8;5.5;3.2;21.0;28.8;81.25
1;21.1;23.4;28.2;30.6;79.5;72.0;8.3;7.6;3.7;4.066667;0.0;25.9;30.6;80.0
12;22.0;25.2;29.8;31.2;70.5;83.0;10.5;5.9;4.133333;3.3;0.0;25.4;30.8;75.5
11;24.0;20.4;30.6;26.8;81.75;91.25;8.4;1.0;4.8;3.9;12.0;23.8;29.2;84.5
3;23.8;21.5;30.4;29.6;81.5;85.0;5.6;10.1;2.266667;4.133333;0.0;26.6;31.4;79.5
9;21.0;23.2;31.0;28.2;89.75;90.0;9.6;1.8;4.433333;3.3;0.0;20.8;29.4;81.5
6;23.6;24.0;29.6;31.2;78.5;72.75;9.1;10.3;6.9;4.5;3.0;21.8;28.8;87.5
12;26.1;25.1;30.0;30.2;82.0;79.25;2.3;10.6;3.566667;3.133333;0.2;26.0;30.2;76.0
5;24.0;24.1;29.0;27.2;81.75;93.75;4.4;0.0;5.033333;2.5;12.5;23.7;29.4;85.0
8;24.4;23.0;31.4;29.8;82.5;74.0;9.3;8.6;3.3;4.4;0.9;21.3;31.2;78.25
3;23.2;23.8;29.6;29.4;78.5;71.75;9.6;10.1;5.466667;5.266667;0.0;22.0;31.0;80.0
10;21.8;24.8;29.3;30.8;78.5;74.5;10.5;9.9;3.4;4.433333;0.0;23.6;29.6;77.0
12;22.7;23.4;27.8;30.6;83.25;79.25;3.2;8.2;4.733333;4.266667;0.0;24.0;30.2;77.5
6;23.3;21.2;29.0;28.4;78.25;80.0;10.2;9.3;4.733333;4.733333;0.0;22.8;29.6;81.25
7;22.0;24.2;29.4;30.4;87.25;77.25;8.3;11.1;2.933333;4.466667;0.0;20.3;28.6;84.25
12;24.0;25.2;31.0;29.6;76.25;71.75;10.9;10.6;4.333333;5.066667;0.0;25.6;31.2;74.0
3;21.6;23.8;29.8;30.0;68.75;79.5;9.6;9.5;4.9;3.2;0.5;25.8;31.6;81.0
3;24.4;24.4;30.0;30.4;70.5;77.75;10.5;9.2;3.533333;4.4;0.0;24.2;30.8;76.0
4;25.2;22.1;31.4;30.0;81.5;81.0;9.8;10.5;3.633333;3.3;0.2;24.0;29.6;77.5
9;23.2;22.9;29.8;30.1;80.0;76.5;6.4;6.9;4.3;3.5;0.0;24.7;29.6;76.25
9;22.2;24.4;29.1;30.6;80.25;75.0;9.9;10.8;3.733333;4.633333;0.0;23.2;28.0;75.5
8;24.0;21.9;31.8;28.2;69.75;87.75;9.3;4.1;4.066667;4.3;0.9;21.5;27.8;83.75
